No,Penalty Calculation Strategy,Penalty Selection Strategy,Penalty TieBreaker Strategy,Cell Selection Strategy,Cell TieBreaker Strategy,Akurasi (Normal)
27,Two Min,Max Penalty,All Penalties,MinCost,Min Cost Allocation,55
28,Two Min,Max Penalty,All Penalties,MinCost,Max Top-Bottom Sum,55
29,Two Min,Max Penalty,All Penalties,MinCA,Max Demand,55
30,Two Min,Max Penalty,All Penalties,MinCA,Max Supply and Demand,55
31,Two Min,Max Penalty,All Penalties,MinCA,Max Supply,55
32,Two Min,Max Penalty,Max Total Cost,MinCA,Max Allocation,55
33,Two Min,Max Penalty,All Penalties,MinCA,Min Top-Bottom Sum,55
34,Min Max,Max Penalty,Max Total Cost,MinCost,Max Supply,50
35,Two Min,Max Penalty,Min Total Cost,MinCost,Max Supply Demand Mult,50
36,Min Max,Max Penalty,All Penalties,MinCA,Min Allocation,50
37,Two Min,Max Penalty,Max Total Cost,MinCA,Min Top-Bottom Sum,50
38,Two Min,Max Penalty,Max Total Cost,MinCA,Max Demand,50
39,Min Max,Max Penalty,All Penalties,MinCA,Max Cost Allocation,50
40,Two Min,Max Penalty,Max Total Cost,MinCA,Max Supply Demand Mult,50
41,Min Max,Max Penalty,All Penalties,MinCA,Min Supply Demand Mult,50
42,Two Min,Max Penalty,Min Total Cost,MinCA,Min Top-Bottom Sum,50
43,Min Max,Max Penalty,Min Total Cost,MinCA,Max Supply,50
44,Two Min,Max Penalty,Min Total Cost,MinCA,Max Allocation,50
45,Min Max,Max Penalty,Max Total Cost,MinCost,Max Supply and Demand,50
46,Two Min,Max Penalty,Min Total Cost,MinCA,Max Cost Allocation,50
47,Min Max,Max Penalty,Min Total Cost,MinCA,Max Supply and Demand,50
48,Min Max,Max Penalty,Min Total Cost,MinCA,Min Top-Bottom Sum,50
49,Min Max,Max Penalty,Min Total Cost,MinCA,Max Allocation,50
50,Min Max,Max Penalty,Min Total Cost,MinCA,Max Cost Allocation,50
51,Min Max,Max Penalty,Min Total Cost,MinCA,Max Supply Demand Mult,50
52,Two Min,Max Penalty,Max Total Cost,MinCost,Index,50
53,Two Min,Max Penalty,Max Total Cost,MinCost,Max Demand,50
54,Two Min,Max Penalty,Max Total Cost,MinCost,Max Supply and Demand,50
55,Min Max,Max Penalty,Max Total Cost,MinCost,Min Top-Bottom Sum,50
56,Min Max,Max Penalty,Max Total Cost,MinCost,Max Supply Demand Mult,50
57,Min Max,Max Penalty,Max Total Cost,MinCost,Max Allocation,50
58,Min Max,Max Penalty,All Penalties,MinCA,Min Cost Allocation,50
59,Min Max,Max Penalty,Max Total Cost,MinCost,Max Cost Allocation,50
60,Min Max,Max Penalty,All Penalties,MinCA,Max Top-Bottom Sum,50
61,Two Min,Max Penalty,All Penalties,MinCA,Min Allocation,50
62,Two Min,Max Penalty,All Penalties,MinCA,Min Cost Allocation,50
63,Two Min,Max Penalty,All Penalties,MinCA,Min Supply and Demand,50
64,Two Min,Max Penalty,All Penalties,MinCA,Min Demand,50
65,Two Min,Max Penalty,All Penalties,MinCA,Index,50
66,Two Min,Max Penalty,All Penalties,MinCost,Min Supply Demand Mult,50
67,Two Min,Max Penalty,All Penalties,MinCost,Max Supply Demand Mult,50
68,Two Min,Max Penalty,All Penalties,MinCost,Min Supply and Demand,50
69,Two Min,Max Penalty,All Penalties,MinCost,Min Demand,50
70,Min Max,Max Penalty,All Penalties,MinCA,Index,50
71,Min Max,Max Penalty,All Penalties,MinCA,Min Supply,50
72,Min Max,Max Penalty,All Penalties,MinCA,Min Supply and Demand,50
73,Two Min,Max Penalty,Min Total Cost,MinCost,Max Demand,50
74,Min Max,Max Penalty,All Penalties,MinCA,Max Allocation,50
75,Min Max,Max Penalty,All Penalties,MinCA,Min Demand,50
76,Two Min,Max Penalty,Min Total Cost,MinCost,Index,50
77,Two Max,Max Penalty,Min Total Cost,MinCost,Max Supply,45
78,Two Max,Max Penalty,All Penalties,MinCost,Max Supply,45
79,Two Min,Max Penalty,Max Total Cost,MinCost,Max Supply Demand Mult,45
80,Two Min,Max Penalty,Max Total Cost,MinCA,Index,45
81,Two Min,Max Penalty,Max Total Cost,MinCA,Max Supply,45
82,Min Max,Max Penalty,All Penalties,MinCost,Max Supply,45
83,Two Min,Max Penalty,Max Total Cost,MinCA,Min Demand,45
84,Two Min,Max Penalty,Max Total Cost,MinCA,Max Supply and Demand,45
85,Two Min,Max Penalty,Max Total Cost,MinCA,Min Supply and Demand,45
86,Two Max,Max Penalty,Min Total Cost,MinCost,Max Supply and Demand,45
87,Two Min,Max Penalty,Max Total Cost,MinCA,Min Allocation,45
88,Two Max,Max Penalty,Min Total Cost,MinCost,Min Top-Bottom Sum,45
89,Two Min,Max Penalty,Max Total Cost,MinCA,Min Cost Allocation,45
90,Two Max,Max Penalty,Min Total Cost,MinCost,Max Allocation,45
91,Two Max,Max Penalty,Min Total Cost,MinCost,Max Supply Demand Mult,45
92,Two Max,Max Penalty,All Penalties,MinCost,Max Supply Demand Mult,45
93,Two Max,Max Penalty,All Penalties,MinCost,Max Cost Allocation,45
94,Two Max,Max Penalty,All Penalties,MinCost,Max Allocation,45
95,Two Max,Max Penalty,All Penalties,MinCost,Min Top-Bottom Sum,45
96,Two Max,Max Penalty,Min Total Cost,MinCost,Max Cost Allocation,45
97,Two Max,Max Penalty,All Penalties,MinCost,Max Supply and Demand,45
98,Min Max,Max Penalty,All Penalties,MinCost,Min Cost Allocation,45
99,Min Max,Max Penalty,All Penalties,MinCost,Index,45
100,Min Max,Max Penalty,Min Total Cost,MinCost,Min Top-Bottom Sum,45
101,Min Max,Max Penalty,Min Total Cost,MinCost,Max Allocation,45
102,Min Max,Max Penalty,Min Total Cost,MinCost,Max Cost Allocation,45
103,Min Max,Max Penalty,Min Total Cost,MinCost,Max Supply Demand Mult,45
104,Min Max,Max Penalty,All Penalties,MinCA,Max Demand,45
105,Min Max,Max Penalty,Min Total Cost,MinCA,Index,45
106,Min Max,Max Penalty,All Penalties,MinCost,Min Supply Demand Mult,45
107,Min Max,Max Penalty,Min Total Cost,MinCA,Min Supply,45
108,Min Max,Max Penalty,Min Total Cost,MinCA,Max Demand,45
109,Min Max,Max Penalty,Min Total Cost,MinCA,Min Demand,45
110,Min Max,Max Penalty,All Penalties,MinCost,Max Supply Demand Mult,45
111,Min Max,Max Penalty,Min Total Cost,MinCA,Min Supply and Demand,45
112,Min Max,Max Penalty,Min Total Cost,MinCA,Max Top-Bottom Sum,45
113,Min Max,Max Penalty,All Penalties,MinCost,Min Supply,45
114,Min Max,Max Penalty,All Penalties,MinCost,Max Cost Allocation,45
115,Min Max,Max Penalty,Min Total Cost,MinCA,Min Allocation,45
116,Min Max,Max Penalty,All Penalties,MinCost,Min Allocation,45
117,Min Max,Max Penalty,Min Total Cost,MinCA,Min Cost Allocation,45
118,Min Max,Max Penalty,All Penalties,MinCost,Max Allocation,45
119,Min Max,Max Penalty,Min Total Cost,MinCA,Min Supply Demand Mult,45
120,Min Max,Max Penalty,Min Total Cost,MinCost,Max Supply and Demand,45
121,Min Max,Max Penalty,Min Total Cost,MinCost,Max Supply,45
122,Min Max,Max Penalty,All Penalties,MinCost,Min Top-Bottom Sum,45
123,Min Max,Max Penalty,All Penalties,MinCost,Max Top-Bottom Sum,45
124,Min Max,Max Penalty,All Penalties,MinCost,Min Supply and Demand,45
125,Min Max,Max Penalty,All Penalties,MinCost,Max Supply and Demand,45
126,Min Max,Max Penalty,All Penalties,MinCost,Min Demand,45
127,Two Min,Max Penalty,Min Total Cost,MinCost,Min Cost Allocation,45
128,Min Max,Max Penalty,Max Total Cost,MinCost,Min Supply Demand Mult,45
129,Min Max,Max Penalty,Max Total Cost,MinCost,Min Cost Allocation,45
130,Min Max,Max Penalty,Max Total Cost,MinCost,Min Allocation,45
131,Min Max,Max Penalty,Max Total Cost,MinCost,Max Top-Bottom Sum,45
132,Two Min,Max Penalty,Min Total Cost,MinCost,Min Supply,45
133,Min Max,Max Penalty,Max Total Cost,MinCost,Min Supply and Demand,45
134,Two Min,Max Penalty,Min Total Cost,MinCost,Min Demand,45
135,Two Min,Max Penalty,Min Total Cost,MinCost,Min Supply and Demand,45
136,Two Min,Max Penalty,Min Total Cost,MinCost,Max Top-Bottom Sum,45
137,Two Min,Max Penalty,Min Total Cost,MinCost,Min Allocation,45
138,Min Max,Max Penalty,Max Total Cost,MinCost,Min Demand,45
139,Min Max,Max Penalty,Max Total Cost,MinCost,Max Demand,45
140,Min Max,Max Penalty,Max Total Cost,MinCost,Min Supply,45
141,Min Max,Max Penalty,Max Total Cost,MinCost,Index,45
142,Two Min,Max Penalty,Min Total Cost,MinCA,Max Supply Demand Mult,45
143,Two Min,Max Penalty,All Penalties,MinCA,Min Supply,45
144,Two Min,Max Penalty,All Penalties,MinCA,Max Top-Bottom Sum,45
145,Two Min,Max Penalty,Min Total Cost,MinCA,Max Supply,45
146,Two Min,Max Penalty,All Penalties,MinCA,Min Supply Demand Mult,45
147,Two Max,Max Penalty,All Penalties,MinCost,Min Allocation,40
148,Two Max,Max Penalty,Min Total Cost,MinCA,Max Supply Demand Mult,40
149,Two Min,Max Penalty,Max Total Cost,MinCost,Min Allocation,40
150,Two Max,Max Penalty,Min Total Cost,MinCA,Max Supply and Demand,40
151,Two Min,Max Penalty,Max Total Cost,MinCost,Min Cost Allocation,40
152,Two Max,Max Penalty,All Penalties,MinCost,Min Cost Allocation,40
153,Two Max,Max Penalty,All Penalties,MinCost,Min Supply Demand Mult,40
154,Two Max,Max Penalty,All Penalties,MinCA,Max Supply,40
155,Two Max,Max Penalty,All Penalties,MinCA,Max Supply and Demand,40
156,Two Max,Max Penalty,Min Total Cost,MinCost,Min Supply Demand Mult,40
157,Two Min,Max Penalty,Max Total Cost,MinCA,Min Supply,40
158,Two Max,Max Penalty,Min Total Cost,MinCA,Max Supply,40
159,Two Max,Max Penalty,Min Total Cost,MinCA,Min Top-Bottom Sum,40
160,Two Max,Max Penalty,Min Total Cost,MinCA,Max Allocation,40
161,Two Max,Max Penalty,Min Total Cost,MinCA,Max Cost Allocation,40
162,Two Min,Max Penalty,Max Total Cost,MinCA,Max Top-Bottom Sum,40
163,Two Min,Max Penalty,Max Total Cost,MinCA,Min Supply Demand Mult,40
164,Two Min,Max Penalty,Min Total Cost,MinCA,Min Cost Allocation,40
165,Two Min,Max Penalty,Min Total Cost,MinCost,Min Supply Demand Mult,40
166,Two Min,Max Penalty,Min Total Cost,MinCA,Index,40
167,Two Min,Max Penalty,Min Total Cost,MinCA,Max Demand,40
168,Min Max,Max Penalty,Min Total Cost,MinCost,Min Supply and Demand,40
169,Min Max,Max Penalty,Min Total Cost,MinCost,Max Top-Bottom Sum,40
170,Two Min,Max Penalty,Min Total Cost,MinCA,Min Demand,40
171,Two Min,Max Penalty,Min Total Cost,MinCA,Max Supply and Demand,40
172,Min Max,Max Penalty,Min Total Cost,MinCost,Min Allocation,40
173,Two Min,Max Penalty,Min Total Cost,MinCA,Min Supply and Demand,40
174,Min Max,Max Penalty,Min Total Cost,MinCost,Min Cost Allocation,40
175,Min Max,Max Penalty,Min Total Cost,MinCost,Min Supply Demand Mult,40
176,Two Min,Max Penalty,Min Total Cost,MinCA,Min Allocation,40
177,Two Min,Max Penalty,Max Total Cost,MinCost,Max Top-Bottom Sum,40
178,Min Max,Max Penalty,Max Total Cost,MinCA,Max Supply Demand Mult,40
179,Min Max,Max Penalty,Max Total Cost,MinCA,Max Cost Allocation,40
180,Min Max,Max Penalty,Max Total Cost,MinCA,Max Allocation,40
181,Min Max,Max Penalty,Max Total Cost,MinCA,Min Top-Bottom Sum,40
182,Min Max,Max Penalty,Max Total Cost,MinCA,Max Supply and Demand,40
183,Min Max,Two Max,All Penalties,MinCA,Max Supply,40
184,Min Max,Two Max,All Penalties,MinCA,Max Supply Demand Mult,40
185,Two Min,Max Penalty,Max Total Cost,MinCost,Min Supply,40
186,Min Max,Max Penalty,Max Total Cost,MinCA,Max Supply,40
187,Two Min,Max Penalty,Max Total Cost,MinCost,Min Demand,40
188,Two Min,Max Penalty,Max Total Cost,MinCost,Min Supply and Demand,40
189,Two Max,Max Penalty,Min Total Cost,MinCost,Max Top-Bottom Sum,40
190,Two Max,Max Penalty,Min Total Cost,MinCost,Min Cost Allocation,40
191,Two Max,Max Penalty,All Penalties,MinCost,Index,40
192,Two Max,Max Penalty,Min Total Cost,MinCost,Min Allocation,40
193,Two Max,Max Penalty,All Penalties,MinCost,Min Supply,40
194,Min Max,Max Penalty,Min Total Cost,MinCost,Min Supply,40
195,Min Max,Max Penalty,Min Total Cost,MinCost,Max Demand,40
196,Two Max,Max Penalty,Min Total Cost,MinCost,Min Supply and Demand,40
197,Two Max,Max Penalty,Min Total Cost,MinCost,Min Demand,40
198,Two Max,Max Penalty,Min Total Cost,MinCost,Max Demand,40
199,Two Max,Max Penalty,Min Total Cost,MinCost,Min Supply,40
200,Two Max,Max Penalty,All Penalties,MinCost,Max Demand,40
201,Min Max,Max Penalty,Min Total Cost,MinCost,Index,40
202,Two Max,Max Penalty,Min Total Cost,MinCost,Index,40
203,Two Max,Max Penalty,All Penalties,MinCost,Max Top-Bottom Sum,40
204,Min Max,Max Penalty,Min Total Cost,MinCost,Min Demand,40
205,Min Max,Max Penalty,All Penalties,MinCost,Max Demand,40
206,Min Max,Max Penalty,Max Total Cost,MinCA,Min Demand,35
207,Two Min,Max Penalty,Max Total Cost,MinCost,Min Supply Demand Mult,35
208,Min Max,Two Max,Max Total Cost,MinCA,Max Cost Allocation,35
209,Two Max,Max Penalty,Min Total Cost,MinCA,Min Cost Allocation,35
210,Two Max,Max Penalty,Min Total Cost,MinCA,Min Supply Demand Mult,35
211,Min Max,Max Penalty,Max Total Cost,MinCA,Max Demand,35
212,Min Max,Max Penalty,Max Total Cost,MinCA,Min Supply,35
213,Two Min,Max Penalty,Min Total Cost,MinCA,Min Supply Demand Mult,35
214,Min Max,Max Penalty,Max Total Cost,MinCA,Min Supply Demand Mult,35
215,Min Max,Two Max,Max Total Cost,MinCA,Max Allocation,35
216,Two Max,Two Max,All Penalties,MinCA,Max Supply,35
217,Min Max,Max Penalty,Max Total Cost,MinCA,Min Cost Allocation,35
218,Min Max,Max Penalty,Max Total Cost,MinCA,Min Supply and Demand,35
219,Min Max,Max Penalty,Max Total Cost,MinCA,Min Allocation,35
220,Min Max,Max Penalty,Max Total Cost,MinCA,Index,35
221,Min Max,Two Max,Max Total Cost,MinCA,Min Top-Bottom Sum,35
222,Min Max,Max Penalty,Max Total Cost,MinCA,Max Top-Bottom Sum,35
223,Two Max,Max Penalty,Min Total Cost,MinCA,Max Top-Bottom Sum,35
224,Two Min,Two Max,Max Total Cost,MinCA,Min Top-Bottom Sum,35
225,Min Max,Two Max,All Penalties,MinCA,Max Supply and Demand,35
226,Two Max,Max Penalty,All Penalties,MinCost,Min Supply and Demand,35
227,Two Min,Max Penalty,Min Total Cost,MinCA,Min Supply,35
228,Min Max,Two Max,All Penalties,MinCA,Min Supply,35
229,Two Max,Max Penalty,All Penalties,MinCost,Min Demand,35
230,Min Max,Two Max,All Penalties,MinCA,Max Top-Bottom Sum,35
231,Two Min,Two Max,Max Total Cost,MinCA,Max Allocation,35
232,Min Max,Two Max,All Penalties,MinCA,Max Allocation,35
233,Two Min,Two Max,All Penalties,MinCA,Max Supply,35
234,Two Max,Max Penalty,All Penalties,MinCA,Min Top-Bottom Sum,35
235,Two Max,Max Penalty,All Penalties,MinCA,Max Allocation,35
236,Min Max,Two Max,All Penalties,MinCA,Max Cost Allocation,35
237,Two Max,Max Penalty,All Penalties,MinCA,Max Cost Allocation,35
238,Two Max,Max Penalty,All Penalties,MinCA,Max Supply Demand Mult,35
239,Two Min,Two Max,All Penalties,MinCA,Max Supply and Demand,35
240,Two Max,Max Penalty,Min Total Cost,MinCA,Index,35
241,Two Min,Max Penalty,Min Total Cost,MinCA,Max Top-Bottom Sum,35
242,Two Max,Max Penalty,Min Total Cost,MinCA,Min Supply,35
243,Two Max,Max Penalty,Min Total Cost,MinCA,Max Demand,35
244,Two Max,Max Penalty,Min Total Cost,MinCA,Min Demand,35
245,Two Min,Two Max,Max Total Cost,MinCA,Max Cost Allocation,35
246,Two Max,Max Penalty,Min Total Cost,MinCA,Min Supply and Demand,35
247,Two Max,Max Penalty,Min Total Cost,MinCA,Min Allocation,35
248,Two Min,Two Max,Max Total Cost,MinCA,Min Allocation,30
249,Two Min,Two Max,Max Total Cost,MinCA,Max Supply Demand Mult,30
250,Min Max,Two Max,All Penalties,MinCA,Index,30
251,Two Min,Two Max,Max Total Cost,MinCA,Min Cost Allocation,30
252,Min Max,Two Max,Max Total Cost,MinCA,Min Allocation,30
253,Two Min,Two Max,All Penalties,MinCA,Max Supply Demand Mult,30
254,Two Max,Max Penalty,Max Total Cost,MinCost,Max Supply,30
255,Two Min,Two Max,All Penalties,MinCA,Max Cost Allocation,30
256,Min Max,Two Max,Max Total Cost,MinCA,Max Demand,30
257,Two Min,Two Max,All Penalties,MinCA,Max Allocation,30
258,Two Min,Two Max,All Penalties,MinCA,Max Top-Bottom Sum,30
259,Min Max,Two Max,Max Total Cost,MinCA,Min Cost Allocation,30
260,Two Max,Max Penalty,Max Total Cost,MinCost,Max Supply and Demand,30
261,Min Max,Two Max,Max Total Cost,MinCA,Max Supply Demand Mult,30
262,Two Min,Two Max,All Penalties,MinCA,Min Supply,30
263,Two Max,Max Penalty,Max Total Cost,MinCost,Min Top-Bottom Sum,30
264,Min Max,Two Max,All Penalties,MinCost,Max Supply,30
265,Two Max,Two Max,All Penalties,MinCost,Max Supply,30
266,Two Max,Max Penalty,Max Total Cost,MinCost,Max Allocation,30
267,Two Max,Max Penalty,Max Total Cost,MinCost,Max Cost Allocation,30
268,Two Max,Max Penalty,Max Total Cost,MinCost,Max Supply Demand Mult,30
269,Two Max,Max Penalty,All Penalties,MinCA,Max Top-Bottom Sum,30
270,Two Max,Two Max,Max Total Cost,MinCA,Max Allocation,30
271,Two Max,Two Max,Max Total Cost,MinCA,Min Top-Bottom Sum,30
272,Two Max,Two Max,All Penalties,MinCA,Max Allocation,30
273,Two Max,Two Max,Max Total Cost,MinCA,Max Supply,30
274,Min Max,Two Max,Max Total Cost,MinCA,Max Supply,30
275,Two Max,Max Penalty,All Penalties,MinCA,Min Supply Demand Mult,30
276,Two Max,Max Penalty,All Penalties,MinCA,Min Cost Allocation,30
277,Two Max,Max Penalty,All Penalties,MinCA,Min Allocation,30
278,Min Max,Two Max,All Penalties,MinCA,Min Supply and Demand,30
279,Two Max,Max Penalty,All Penalties,MinCA,Min Supply and Demand,30
280,Two Max,Max Penalty,All Penalties,MinCA,Min Demand,30
281,Two Max,Max Penalty,All Penalties,MinCA,Max Demand,30
282,Two Max,Max Penalty,All Penalties,MinCA,Min Supply,30
283,Two Max,Max Penalty,All Penalties,MinCA,Index,30
284,Min Max,Two Max,Max Total Cost,MinCA,Min Demand,30
285,Two Max,Two Max,All Penalties,MinCA,Max Supply and Demand,30
286,Two Max,Two Max,All Penalties,MinCA,Max Top-Bottom Sum,30
287,Two Max,Two Max,Max Total Cost,MinCA,Max Cost Allocation,30
288,Min Max,Two Max,All Penalties,MinCA,Min Top-Bottom Sum,30
289,Min Max,Two Max,All Penalties,MinCA,Min Allocation,30
290,Min Max,Two Max,All Penalties,MinCA,Min Cost Allocation,30
291,Two Min,Two Max,Max Total Cost,MinCA,Min Supply and Demand,30
292,Two Min,Two Max,Max Total Cost,MinCA,Min Demand,30
293,Two Min,Two Max,Max Total Cost,MinCA,Max Demand,30
294,Two Min,Two Max,Max Total Cost,MinCA,Max Supply,30
295,Two Min,Two Max,Max Total Cost,MinCA,Index,30
296,Two Max,Two Max,All Penalties,MinCA,Max Supply Demand Mult,30
297,Min Max,Two Max,Max Total Cost,MinCA,Min Supply and Demand,30
298,Min Max,Two Max,Max Total Cost,MinCA,Index,30
299,Two Max,Two Max,All Penalties,MinCA,Max Cost Allocation,30
300,Two Max,Two Max,Max Total Cost,MinCA,Max Supply Demand Mult,30
301,Two Max,Two Max,All Penalties,MinCA,Min Supply,30
302,Min Max,Two Max,Max Total Cost,MinCA,Max Top-Bottom Sum,25
303,Two Max,Two Max,Max Total Cost,MinCA,Min Supply Demand Mult,25
304,Min Max,Two Max,Max Total Cost,MinCost,Min Top-Bottom Sum,25
305,Min Max,Two Max,Max Total Cost,MinCA,Max Supply and Demand,25
306,Min Max,Two Max,Max Total Cost,MinCA,Min Supply,25
307,Min Max,Two Max,Max Total Cost,MinCost,Max Demand,25
308,Min Max,Two Max,Max Total Cost,MinCA,Min Supply Demand Mult,25
309,Two Max,Max Penalty,Max Total Cost,MinCost,Min Supply,25
310,Two Max,Max Penalty,Max Total Cost,MinCA,Max Allocation,25
311,Two Max,Max Penalty,Max Total Cost,MinCA,Min Top-Bottom Sum,25
312,Two Min,Two Max,Max Total Cost,MinCost,Max Demand,25
313,Two Min,Two Max,Max Total Cost,MinCost,Min Top-Bottom Sum,25
314,Two Min,Two Max,Max Total Cost,MinCA,Min Supply,25
315,Two Min,Two Max,Max Total Cost,MinCA,Max Supply and Demand,25
316,Two Min,Two Max,Max Total Cost,MinCA,Max Top-Bottom Sum,25
317,Two Min,Two Max,Max Total Cost,MinCA,Min Supply Demand Mult,25
318,Two Max,Max Penalty,Max Total Cost,MinCost,Index,25
319,Two Max,Max Penalty,Max Total Cost,MinCA,Max Cost Allocation,25
320,Two Max,Max Penalty,Max Total Cost,MinCost,Max Demand,25
321,Two Max,Max Penalty,Max Total Cost,MinCost,Min Demand,25
322,Two Max,Max Penalty,Max Total Cost,MinCost,Min Supply and Demand,25
323,Two Max,Max Penalty,Max Total Cost,MinCost,Max Top-Bottom Sum,25
324,Two Max,Max Penalty,Max Total Cost,MinCost,Min Allocation,25
325,Two Max,Max Penalty,Max Total Cost,MinCost,Min Cost Allocation,25
326,Two Max,Max Penalty,Max Total Cost,MinCost,Min Supply Demand Mult,25
327,Two Max,Max Penalty,Max Total Cost,MinCA,Max Supply,25
328,Two Max,Two Max,Max Total Cost,MinCA,Min Allocation,25
329,Min Max,Two Max,All Penalties,MinCost,Max Allocation,25
330,Min Max,Two Max,All Penalties,MinCost,Max Cost Allocation,25
331,Min Max,Two Max,All Penalties,MinCost,Max Supply Demand Mult,25
332,Min Max,Two Max,All Penalties,MinCA,Max Demand,25
333,Min Max,Two Max,All Penalties,MinCA,Min Demand,25
334,Min Max,Two Max,All Penalties,MinCA,Min Supply Demand Mult,25
335,Two Max,Max Penalty,Max Total Cost,MinCA,Max Supply and Demand,25
336,Two Max,Two Max,Max Total Cost,MinCA,Min Cost Allocation,25
337,Min Max,Two Max,All Penalties,MinCost,Max Top-Bottom Sum,25
338,Two Max,Two Max,Max Total Cost,MinCA,Max Top-Bottom Sum,25
339,Two Max,Two Max,Max Total Cost,MinCA,Min Supply and Demand,25
340,Two Max,Two Max,Max Total Cost,MinCA,Max Supply and Demand,25
341,Two Max,Two Max,Max Total Cost,MinCA,Min Demand,25
342,Two Max,Two Max,Max Total Cost,MinCA,Max Demand,25
343,Two Max,Two Max,Max Total Cost,MinCA,Min Supply,25
344,Two Max,Two Max,Max Total Cost,MinCA,Index,25
345,Two Max,Max Penalty,Max Total Cost,MinCA,Max Supply Demand Mult,25
346,Two Max,Two Max,All Penalties,MinCost,Max Cost Allocation,25
347,Two Min,Two Max,All Penalties,MinCA,Min Cost Allocation,25
348,Two Max,Two Max,All Penalties,MinCA,Min Top-Bottom Sum,25
349,Two Max,Two Max,All Penalties,MinCA,Min Supply and Demand,25
350,Two Min,Two Max,All Penalties,MinCA,Index,25
351,Two Min,Two Max,All Penalties,MinCA,Min Allocation,25
352,Two Max,Two Max,All Penalties,MinCA,Index,25
353,Two Min,Two Max,All Penalties,MinCA,Min Top-Bottom Sum,25
354,Two Max,Two Max,All Penalties,MinCost,Max Supply Demand Mult,25
355,Two Min,Two Max,All Penalties,MinCA,Min Supply and Demand,25
356,Two Max,Two Max,All Penalties,MinCA,Min Allocation,25
357,Two Max,Two Max,All Penalties,MinCost,Max Allocation,25
358,Two Min,Two Max,All Penalties,MinCA,Max Demand,25
359,Two Max,Two Max,All Penalties,MinCost,Max Top-Bottom Sum,25
360,Two Min,Two Max,All Penalties,MinCost,Max Cost Allocation,25
361,Two Min,Two Max,All Penalties,MinCost,Max Supply,25
362,Two Min,Two Max,All Penalties,MinCost,Max Allocation,25
363,Two Min,Two Max,All Penalties,MinCost,Max Supply Demand Mult,25
364,Two Max,Two Max,All Penalties,MinCA,Min Cost Allocation,25
365,Min Max,Two Max,Max Total Cost,MinCost,Index,20
366,Two Min,Two Max,Max Total Cost,MinCost,Index,20
367,Two Max,Two Max,Max Total Cost,MinCost,Max Supply Demand Mult,20
368,Min Max,Two Max,Max Total Cost,MinCost,Min Demand,20
369,Min Max,Two Max,Max Total Cost,MinCost,Max Supply and Demand,20
370,Min Max,Two Max,Max Total Cost,MinCost,Min Supply and Demand,20
371,Two Max,Max Penalty,Max Total Cost,MinCA,Min Supply and Demand,20
372,Two Min,Two Max,Max Total Cost,MinCost,Max Cost Allocation,20
373,Two Max,Max Penalty,Max Total Cost,MinCA,Max Top-Bottom Sum,20
374,Two Max,Max Penalty,Max Total Cost,MinCA,Min Allocation,20
375,Two Max,Max Penalty,Max Total Cost,MinCA,Min Demand,20
376,Two Max,Max Penalty,Max Total Cost,MinCA,Max Demand,20
377,Two Max,Max Penalty,Max Total Cost,MinCA,Min Cost Allocation,20
378,Two Max,Max Penalty,Max Total Cost,MinCA,Min Supply Demand Mult,20
379,Two Min,Two Max,Max Total Cost,MinCost,Max Supply Demand Mult,20
